latitude,longitude,id,Country,State,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
54.9,-3.12,234,United Kingdom,United Kingdom,Data Management,21,4.99,80.77,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Data Quality Management,1,0.24,100,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Data Governance,27,6.41,90,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Data Analysis,14,3.33,93.33,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Data Engineering,126,29.93,81.82,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Data Visualization,3,0.71,42.86,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Artificial Intelligence,30,7.13,61.22,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Cloud Computing,89,21.14,60.14,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Mathematics,14,3.33,53.85,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Statistics,1,0.24,50,1,1
54.9,-3.12,234,United Kingdom,United Kingdom,Business Intelligence,95,22.57,66.43,1,1
51.5,10.5,231,Germany,Germany,Data Management,3,4.17,11.54,1,1
51.5,10.5,231,Germany,Germany,Data Quality Management,0,0,0,1,1
51.5,10.5,231,Germany,Germany,Data Governance,2,2.78,6.67,1,1
51.5,10.5,231,Germany,Germany,Data Analysis,0,0,0,1,1
51.5,10.5,231,Germany,Germany,Data Engineering,11,15.28,7.14,1,1
51.5,10.5,231,Germany,Germany,Data Visualization,0,0,0,1,1
51.5,10.5,231,Germany,Germany,Artificial Intelligence,3,4.17,6.12,1,1
51.5,10.5,231,Germany,Germany,Cloud Computing,25,34.72,16.89,1,1
51.5,10.5,231,Germany,Germany,Mathematics,11,15.28,42.31,1,1
51.5,10.5,231,Germany,Germany,Statistics,1,1.39,50,1,1
51.5,10.5,231,Germany,Germany,Business Intelligence,16,22.22,11.19,1,1
46,2,233,France,France,Data Management,1,2.27,3.85,1,1
46,2,233,France,France,Data Quality Management,0,0,0,1,1
46,2,233,France,France,Data Governance,0,0,0,1,1
46,2,233,France,France,Data Analysis,0,0,0,1,1
46,2,233,France,France,Data Engineering,1,2.27,0.65,1,1
46,2,233,France,France,Data Visualization,2,4.55,28.57,1,1
46,2,233,France,France,Artificial Intelligence,5,11.36,10.2,1,1
46,2,233,France,France,Cloud Computing,17,38.64,11.49,1,1
46,2,233,France,France,Mathematics,1,2.27,3.85,1,1
46,2,233,France,France,Statistics,0,0,0,1,1
46,2,233,France,France,Business Intelligence,17,38.64,11.89,1,1
40,-4,221,Spain,Spain,Data Management,0,0,0,1,1
40,-4,221,Spain,Spain,Data Quality Management,0,0,0,1,1
40,-4,221,Spain,Spain,Data Governance,0,0,0,1,1
40,-4,221,Spain,Spain,Data Analysis,1,5,6.67,1,1
40,-4,221,Spain,Spain,Data Engineering,4,20,2.6,1,1
40,-4,221,Spain,Spain,Data Visualization,2,10,28.57,1,1
40,-4,221,Spain,Spain,Artificial Intelligence,0,0,0,1,1
40,-4,221,Spain,Spain,Cloud Computing,9,45,6.08,1,1
40,-4,221,Spain,Spain,Mathematics,0,0,0,1,1
40,-4,221,Spain,Spain,Statistics,0,0,0,1,1
40,-4,221,Spain,Spain,Business Intelligence,4,20,2.8,1,1
42.83,12.83,220,Italy,Italy,Data Management,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Data Quality Management,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Data Governance,1,7.14,3.33,1,1
42.83,12.83,220,Italy,Italy,Data Analysis,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Data Engineering,4,28.57,2.6,1,1
42.83,12.83,220,Italy,Italy,Data Visualization,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Artificial Intelligence,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Cloud Computing,4,28.57,2.7,1,1
42.83,12.83,220,Italy,Italy,Mathematics,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Statistics,0,0,0,1,1
42.83,12.83,220,Italy,Italy,Business Intelligence,5,35.71,3.5,1,1
52,20,228,Poland,Poland,Data Management,1,3.33,3.85,1,1
52,20,228,Poland,Poland,Data Quality Management,0,0,0,1,1
52,20,228,Poland,Poland,Data Governance,0,0,0,1,1
52,20,228,Poland,Poland,Data Analysis,0,0,0,1,1
52,20,228,Poland,Poland,Data Engineering,8,26.67,5.19,1,1
52,20,228,Poland,Poland,Data Visualization,0,0,0,1,1
52,20,228,Poland,Poland,Artificial Intelligence,11,36.67,22.45,1,1
52,20,228,Poland,Poland,Cloud Computing,4,13.33,2.7,1,1
52,20,228,Poland,Poland,Mathematics,0,0,0,1,1
52,20,228,Poland,Poland,Statistics,0,0,0,1,1
52,20,228,Poland,Poland,Business Intelligence,6,20,4.2,1,1
,,,,Ireland,,,,,,
,,,,Croatia,,,,,,
,,,,Estonia,,,,,,
,,,,Cyprus,,,,,,
,,,,Finland,,,,,,
,,,,Greece,,,,,,
,,,,Sweden,,,,,,
,,,,Netherlands,,,,,,
,,,,Lithuania,,,,,,
,,,,Malta,,,,,,
,,,,Northern Cyprus,,,,,,
,,,,Slovakia,,,,,,
,,,,Australia,,,,,,
,,,,Hungary,,,,,,
,,,,Luxembourg,,,,,,
,,,,Slovenia,,,,,,
,,,,Belgium,,,,,,
,,,,Cyprus No Mans Area,,,,,,
,,,,Bulgaria,,,,,,
,,,,Romania,,,,,,
,,,,Latvia,,,,,,
,,,,Czech Republic,,,,,,
,,,,Portugal,,,,,,
