Location,Latitude,Longitude,Country,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
Cork,51.89797,-8.47061,Ireland,Data Management,21,4.99,80.77,1,1
Amsterdam,52.37403,4.88969,Netherlands,Data Quality Management,1,0.24,100,1,1
Berlin,52.52437,13.41053,Germany,Data Governance,27,6.41,90,1,1
Berlin,52.52437,13.41053,Germany,Data Analysis,14,3.33,93.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,126,29.93,81.82,1,1
London,51.50853,-0.12574,United Kingdom,Data Visualization,3,0.71,42.86,1,1
Woking,51.31903,-0.55893,United Kingdom,Artificial Intelligence,30,7.13,61.22,1,1
Oxford,51.75222,-1.25596,United Kingdom,Cloud Computing,89,21.14,60.14,1,1
Budapest,47.49801,19.03991,Hungary,Mathematics,14,3.33,53.85,1,1
Bristol,51.45523,-2.59665,United Kingdom,Statistics,1,0.24,50,1,1
Rotterdam,51.9225,4.47917,Netherlands,Business Intelligence,95,22.57,66.43,1,1
Taäó» Xbiex,35.89917,14.49444,Malta,Data Management,3,4.17,11.54,1,1
Exeter,50.7236,-3.52751,United Kingdom,Data Governance,2,2.78,6.67,1,1
Budapest,47.49801,19.03991,Hungary,Data Engineering,11,15.28,7.14,1,1
Vienna,48.20849,16.37208,Austria,Artificial Intelligence,3,4.17,6.12,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,25,34.72,16.89,1,1
Amsterdam,52.37403,4.88969,Netherlands,Mathematics,11,15.28,42.31,1,1
Amsterdam,52.37403,4.88969,Netherlands,Statistics,1,1.39,50,1,1
Frankfurt am Main,50.11552,8.68417,Germany,Business Intelligence,16,22.22,11.19,1,1
Dusseldorf,51.22172,6.77616,Germany,Data Management,1,2.27,3.85,1,1
Munich,48.13743,11.57549,Germany,Data Engineering,1,2.27,0.65,1,1
Copenhagen,55.67594,12.56553,Denmark,Data Visualization,2,4.55,28.57,1,1
Copenhagen,55.67594,12.56553,Denmark,Artificial Intelligence,5,11.36,10.2,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,17,38.64,11.49,1,1
London,51.50853,-0.12574,United Kingdom,Mathematics,1,2.27,3.85,1,1
