Employer,Location,Latitude,Longitude,Country,Skills,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
UBIMET GmbH,Vienna,48.20849,16.37208,Austria,"json,objective-c,core-data,sqlite,xml",Data Management,1,4.99,80.77,1,1
Global Blue,Vienna,48.20849,16.37208,Austria,"java,c#,.net,mssql",Data Quality Management,1,0.24,100,1,1
Global Blue,Vienna,48.20849,16.37208,Austria,java,Data Governance,1,6.41,90,1,1
Global Blue,Vienna,48.20849,16.37208,Austria,java,Data Analysis,1,3.33,93.33,1,1
Global Blue,Vienna,48.20849,16.37208,Austria,c#,Data Engineering,1,29.93,81.82,1,1
B2Match,Vienna,48.20849,16.37208,Austria,"javascript,ruby-on-rails,go,ruby,user-interface",Data Visualization,1,0.71,42.86,1,1
Transpaygo GmbH,Vienna,48.20849,16.37208,Austria,java,Artificial Intelligence,1,7.13,61.22,1,1
Capgemini,Machelen,50.91061,4.44174,Belgium,"java,angularjs,html5,java-ee,spring-mvc",Cloud Computing,1,21.14,60.14,1,1
VMware Bulgaria,Sofia,42.69751,23.32415,Bulgaria,"java,oop,architecture",Mathematics,1,3.33,53.85,1,1
VMware Bulgaria,Sofia,42.69751,23.32415,Bulgaria,"testing,qa,automated-tests,quality",Statistics,1,0.24,50,1,1
Adcash Oä__í_,Sofia,42.69751,23.32415,Bulgaria,"java,python,shell",Business Intelligence,1,22.57,66.43,1,1
PDS Petrotechnical,Sofia,42.69751,23.32415,Bulgaria,"quality,engineer,software,assurance,tester",Data Management,1,4.17,11.54,1,1
ESET,Prague,50.08804,14.42076,Czech Republic,"python,javascript,c++11,perl",Data Governance,1,2.78,6.67,1,1
Anritsu,Prague,50.08804,14.42076,Czech Republic,"python,c++,linux,stl,design-patterns",Data Engineering,1,15.28,7.14,1,1
Falcon Social,Copenhagen,55.67594,12.56553,Denmark,"javascript,angularjs,rest,gruntjs,knockout.js",Artificial Intelligence,1,4.17,6.12,1,1
Falcon Social,Copenhagen,55.67594,12.56553,Denmark,"java,angularjs,rest,domain-driven-design,refactoring",Cloud Computing,1,34.72,16.89,1,1
Frosmo,Helsinki,60.16952,24.93545,Finland,"javascript,jquery,html5,php,node.js",Mathematics,1,15.28,42.31,1,1
Next Games,Helsinki,60.16952,24.93545,Finland,"hadoop,python,machine-learning,bigdata,r",Statistics,1,1.39,50,1,1
Solita Oy,Helsinki,60.16952,24.93545,Finland,"css,javascript,angularjs,html5,episerver",Business Intelligence,1,22.22,11.19,1,1
Criteo,Paris,48.85341,2.3488,France,"hadoop,java,python,scala,linux",Data Management,1,2.27,3.85,1,1
Wiremind,Paris,48.85341,2.3488,France,"angularjs,d3.js",Data Engineering,1,2.27,0.65,1,1
AXA Life Invest,Courbevoie,48.89672,2.25666,France,"java,tdd,tomcat,refactoring,junit",Data Visualization,1,4.55,28.57,1,1
OptimData,Paris,48.85341,2.3488,France,"python,django,rest,pandas,django-rest-framework",Artificial Intelligence,1,11.36,10.2,1,1
Criteo,Grenoble,45.16667,5.71667,France,java,Cloud Computing,1,38.64,11.49,1,1
Content Square,Paris,48.85341,2.3488,France,"hadoop,hbase,scala,spark,puppet",Mathematics,1,2.27,3.85,1,1
Mosaä__íÖc Finance,Paris,48.85341,2.3488,France,"hadoop,python,machine-learning,sql,r",Business Intelligence,1,38.64,11.89,1,1
CeleraOne GmbH,Berlin,52.52437,13.41053,Germany,"c++,boost,c++11,tbb,zeromq",Data Analysis,1,5,6.67,1,1
think-cell Software GmbH,Berlin,52.52437,13.41053,Germany,"c++,c++11,algorithm,data-structures,linear-programming",Data Engineering,1,20,2.6,1,1
Crytek GmbH,Frankfurt am Main,50.11552,8.68417,Germany,"c++,sql,web,node.js,api",Data Visualization,1,10,28.57,1,1
trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"mysql,computer,sciene",Cloud Computing,1,45,6.08,1,1
Westwing Home & Living,Munich,48.13743,11.57549,Germany,"e-commerce,analytics,business-intelligence,data,data-driven",Business Intelligence,1,20,2.8,1,1
AdClear GmbH,Berlin,52.52437,13.41053,Germany,"java,eclipse,maven",Data Governance,1,7.14,3.33,1,1
Visual Meta GmbH,Berlin,52.52437,13.41053,Germany,"hadoop,hbase,java,machine-learning,search",Data Engineering,1,28.57,2.6,1,1
Visual Meta GmbH,Berlin,52.52437,13.41053,Germany,"java,css,jquery,html5,selenium",Cloud Computing,1,28.57,2.7,1,1
trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"hadoop,algorithm,data-structures,computer-science,software-engineering",Business Intelligence,1,35.71,3.5,1,1
BMW Group,Ulm,48.39841,9.99155,Germany,"python,c++,linux,git,testing",Data Management,1,3.33,3.85,1,1
Onefootball GmbH,Berlin,52.52437,13.41053,Germany,"javascript,angularjs,gruntjs,bower,unit-testing",Data Engineering,1,26.67,5.19,1,1
Delivery Hero,Berlin,52.52437,13.41053,Germany,"javascript,jquery,rest,apex,salesforce",Artificial Intelligence,1,36.67,22.45,1,1
Project A Ventures,Berlin,52.52437,13.41053,Germany,"java,python,postgresql,php,linux",Cloud Computing,1,13.33,2.7,1,1
mylivn,Munich,48.13743,11.57549,Germany,"java,nosql,playframework,spring,akka",Business Intelligence,1,20,4.2,1,1
Dassault Systemes 3DExcite GmbH,Munich,48.13743,11.57549,Germany,"python,linux,windows,3d",Data Management,1,4.99,80.77,1,1
Definiens AG,Munich,48.13743,11.57549,Germany,"nosql,c++,multithreading,tcp-ip,winapi",Data Quality Management,1,0.24,100,1,1
Rocket Internet SE,Berlin,52.52437,13.41053,Germany,"python,go,elasticsearch",Data Governance,1,6.41,90,1,1
PROEMION GmbH,Fulda,50.55162,9.67518,Germany,"java,postgresql,spring,java-ee,jax-rs",Data Analysis,1,3.33,93.33,1,1
etracker GmbH,Hamburg,53.57532,10.01534,Germany,"java,bigdata,oop,unix,open-source",Data Engineering,1,29.93,81.82,1,1
Statista GmbH,Hamburg,53.57532,10.01534,Germany,"tdd,linux,c,wpf,winforms",Data Visualization,1,0.71,42.86,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"java,storm,spark,kafka,aerospike",Artificial Intelligence,1,7.13,61.22,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,scala,restful-authentication",Cloud Computing,1,21.14,60.14,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"javascript,css3,html5",Mathematics,1,3.33,53.85,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,postgresql,sql,oracle",Statistics,1,0.24,50,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,machine-learning,scala",Business Intelligence,1,22.57,66.43,1,1
Zalando SE,Berlin,52.52437,13.41053,Germany,"html5,security",Data Management,1,4.17,11.54,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"java,json,android,mobile,sdk",Data Governance,1,2.78,6.67,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"python,c++,devops,hudson,jenkins",Data Engineering,1,15.28,7.14,1,1
Celonis GmbH,Munich,48.13743,11.57549,Germany,"css,html,javascript,angularjs,rest",Artificial Intelligence,1,4.17,6.12,1,1
Metrigo Gmbh (Zalando SE),Hamburg,53.57532,10.01534,Germany,"java,bigdata,lmax,netty",Cloud Computing,1,34.72,16.89,1,1
The Electronics Online Group / redcoon GmbH (member of Media-Saturn Group),Munich,48.13743,11.57549,Germany,"java,nosql,php,elasticsearch,lucene",Mathematics,1,15.28,42.31,1,1
SavingGlobal GmbH,Berlin,52.52437,13.41053,Germany,"mysql,linux,perl,otrs",Statistics,1,1.39,50,1,1
DaWanda GmbH,Berlin,52.52437,13.41053,Germany,"dagger,data-binding,mvvm,retrolambda,rx-java",Business Intelligence,1,22.22,11.19,1,1
Westwing Home & Living,Munich,48.13743,11.57549,Germany,"e-commerce,operations,management,product,technology",Data Management,1,2.27,3.85,1,1
trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"python,c++,php,c,bash",Data Engineering,1,2.27,0.65,1,1
Festool,Wendlingen am Neckar,48.67124,9.37632,Germany,"machine-learning,r,project-management,agile-project-management",Data Visualization,1,4.55,28.57,1,1
Exozet Berlin GmbH,Berlin,52.52437,13.41053,Germany,"php,symfony2,oop,backend,doctrine",Artificial Intelligence,1,11.36,10.2,1,1
infoteam Software AG,Bubenreuth,49.62745,11.01723,Germany,"mysql,bigdata,sql-server,vldb",Cloud Computing,1,38.64,11.49,1,1
Abend AG,Berlin,52.52437,13.41053,Germany,"css,html,javascript,angularjs,cordova",Mathematics,1,2.27,3.85,1,1
European Molecular Biology Laboratory (EMBL),Hamburg,53.57532,10.01534,Germany,"linux,sysadmin",Business Intelligence,1,38.64,11.89,1,1
European Molecular Biology Laboratory (EMBL),Hamburg,53.57532,10.01534,Germany,"c++,c,matlab,fortran",Data Analysis,1,5,6.67,1,1
Maritime Data Systems GmbH,Hamburg,53.57532,10.01534,Germany,"java,python,angularjs,elasticsearch,postgis",Data Engineering,1,20,2.6,1,1
SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,unix,perl",Data Visualization,1,10,28.57,1,1
SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,git,shell",Cloud Computing,1,45,6.08,1,1
SAP SE,Walldorf,49.30637,8.64236,Germany,"python,linux,perl,git,shell",Business Intelligence,1,20,2.8,1,1
SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,database,shell",Data Governance,1,7.14,3.33,1,1
TheAmazeApp UG,Cologne,50.93333,6.95,Germany,"java,android,ios,objective-c",Data Engineering,1,28.57,2.6,1,1
codecentric AG,Dusseldorf,51.22172,6.77616,Germany,"bigdata,atlassian,continuous-delivery",Cloud Computing,1,28.57,2.7,1,1
SAP SE,Potsdam,52.39886,13.06566,Germany,"java,c++,sql,node.js",Business Intelligence,1,35.71,3.5,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"java,scala,api,scripting-language",Data Management,1,3.33,3.85,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"python,ruby,lua,text-to-speech,voice",Data Engineering,1,26.67,5.19,1,1
SimScale GmbH,Munich,48.13743,11.57549,Germany,"java,css,javascript,gwt,uml",Artificial Intelligence,1,36.67,22.45,1,1
CYREN GmbH,Berlin,52.52437,13.41053,Germany,"java,c++,linux,unit-testing,jenkins",Cloud Computing,1,13.33,2.7,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"c++,linux,scripting,continuous-integration,backend",Business Intelligence,1,20,4.2,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"java,scala,java-ee,backend",Data Management,1,4.99,80.77,1,1
Key-Work Consulting GmbH,Karlsruhe,49.00936,8.40444,Germany,"css,javascript,jquery,html5,gruntjs",Data Quality Management,1,0.24,100,1,1
Bayard Consulting GmbH,Cologne,50.93333,6.95,Germany,"java,javascript,ruby-on-rails,mysql,html5",Data Governance,1,6.41,90,1,1
TrustYou GmbH,Munich,48.13743,11.57549,Germany,"nosql,machine-learning,javascript,rest,nlp",Data Analysis,1,3.33,93.33,1,1
TrustYou GmbH,Munich,48.13743,11.57549,Germany,"python,css,html,javascript,rest",Data Engineering,1,29.93,81.82,1,1
Cloudreach GmbH,Munich,48.13743,11.57549,Germany,"python,ruby,linux,cloud",Data Visualization,1,0.71,42.86,1,1
Rocket Internet SE,Berlin,52.52437,13.41053,Germany,"android,ios,objective-c",Artificial Intelligence,1,7.13,61.22,1,1
"HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"java,c++,scala,data,data-mining",Cloud Computing,1,21.14,60.14,1,1
Whitewall GmbH,Berlin,52.52437,13.41053,Germany,"javascript,jquery,php,ajax,magento",Mathematics,1,3.33,53.85,1,1
DekaBank Deutsche Girozentrale,Frankfurt am Main,50.11552,8.68417,Germany,"etl,sql,sysadmin,oracle",Statistics,1,0.24,50,1,1
Harman Becker Automotive Systems GmbH,Garching bei Mä__Œ_nchen,48.24896,11.65101,Germany,"java,c++,c,rdf,osmdroid",Business Intelligence,1,22.57,66.43,1,1
Groupon International,Athens,37.97945,23.71622,Greece,"java,python,javascript,node.js,perl",Data Management,1,4.17,11.54,1,1
Aero Glass,Budapest,47.49801,19.03991,Hungary,"android,augmented-reality,gis,navigation,opengl-es",Data Governance,1,2.78,6.67,1,1
Scarab Research,Budapest,47.49801,19.03991,Hungary,"javascript,user-experience,frontend,data-visualization",Data Engineering,1,15.28,7.14,1,1
Prezi.com,Budapest,47.49801,19.03991,Hungary,"python,javascript,html5,jvm",Artificial Intelligence,1,4.17,6.12,1,1
Scrapinghub,Cork,51.89797,-8.47061,Ireland,"python,erlang,machine-learning,scrapy,web-crawler",Cloud Computing,1,34.72,16.89,1,1
Mobile Travel Technologies Ltd (MTT),Dublin,53.33306,-6.24889,Ireland,"java,amazon-web-services,mongodb,spring,rest",Mathematics,1,15.28,42.31,1,1
Intel Corporation,Shannon,52.70389,-8.86417,Ireland,"c++,linux,c,embedded,x86",Statistics,1,1.39,50,1,1
BetBright,Dublin,53.33306,-6.24889,Ireland,"python,mysql,linux,git,twisted",Business Intelligence,1,22.22,11.19,1,1
Groupon International,Dublin,53.33306,-6.24889,Ireland,"java,javascript,ruby-on-rails,restful-architecture,sql",Data Management,1,2.27,3.85,1,1
aspect,Galway,53.27194,-9.04889,Ireland,"java,testing,qa",Data Engineering,1,2.27,0.65,1,1
Logentries,Dublin,53.33306,-6.24889,Ireland,"java,python,sql,linux,sysadmin",Data Visualization,1,4.55,28.57,1,1
